City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;Asian;4759
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;Black or African-American;11592
Wichita;Kansas;34.6;192354;197601;389955;23978;40270;2.56;KS;Hispanic or Latino;65162
Laredo;Texas;28.8;124305;131484;255789;4921;68427;3.66;TX;American Indian and Alaska Native;1253
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;Asian;27089
Hampton;Virginia;35.5;66214;70240;136454;19638;6204;2.48;VA;Black or African-American;70303
Frederick;Maryland;36.1;33146;36336;69482;3870;14211;2.48;MD;White;49181
Sparks;Nevada;36.1;47780;48318;96098;7315;15690;2.63;NV;Hispanic or Latino;29159
Brooklyn Park;Minnesota;35.1;37845;41305;79150;3506;17490;2.85;MN;White;41760
Danbury;Connecticut;37.3;43435;41227;84662;3752;25675;2.74;CT;Black or African-American;8454
Miami Gardens;Florida;34.9;50719;62480;113199;2327;33394;3.75;FL;Black or African-American;85300
Tulsa;Oklahoma;35.0;197437;205654;403091;24672;43751;2.37;OK;Black or African-American;72643
Jonesboro;Arkansas;32.6;35666;38240;73906;3682;3222;2.44;AR;Black or African-American;14599
Omaha;Nebraska;34.2;218789;225098;443887;24503;48263;2.47;NE;Hispanic or Latino;63516
Nashville;Tennessee;34.1;314231;340365;654596;27942;88193;2.39;TN;Hispanic or Latino;67526
Somerville;Massachusetts;31.0;41028;39306;80334;2103;22292;2.43;MA;Asian;9498
Bakersfield;California;30.6;182154;191473;373627;12284;71575;3.23;CA;American Indian and Alaska Native;7357
Montgomery;Alabama;35.4;94582;106004;200586;14955;9337;2.41;AL;White;73545
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;Asian;5232
Lynwood;California;29.4;35634;36371;72005;776;28061;4.43;CA;Asian;994
Waco;Texas;29.3;63452;68890;132342;10716;14235;2.57;TX;Asian;4230
Vallejo;California;37.8;58379;62890;121269;8103;30592;2.83;CA;American Indian and Alaska Native;1671
Denver;Colorado;34.1;341137;341408;682545;29363;113222;2.33;CO;Black or African-American;72288
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;White;79538
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;Hispanic or Latino;90989
Clearwater;Florida;47.0;55225;57754;112979;10631;17686;2.4;FL;Asian;2434
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;Asian;3266
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;Asian;15205
El Paso;Texas;33.1;332797;348339;681136;47693;159709;3.03;TX;Asian;12370
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;White;87383
Redlands;California;36.2;33993;37035;71028;3445;8681;2.82;CA;White;55241
Chino;California;36.5;50989;34610;85599;4186;18666;3.62;CA;Hispanic or Latino;45495
Rio Rancho;New Mexico;38.3;47251;46904;94155;8527;5200;2.86;NM;American Indian and Alaska Native;4857
Provo;Utah;23.6;56231;59027;115258;2177;10925;3.28;UT;White;108471
Tallahassee;Florida;26.2;89390;100504;189894;9575;16720;2.38;FL;Hispanic or Latino;13538
Anaheim;California;33.6;179603;171135;350738;9796;137133;3.45;CA;Hispanic or Latino;201593
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;Asian;18441
Deerfield Beach;Florida;41.4;37155;42614;79769;3882;23642;2.46;FL;White;53037
Spring Valley;Nevada;37.0;96808;97147;193955;10644;61072;2.79;NV;Black or African-American;29031
Spring Valley;Nevada;37.0;96808;97147;193955;10644;61072;2.79;NV;Asian;45059
Sioux City;Iowa;34.3;38827;43949;82776;4093;7471;2.57;IA;White;70513
Grand Prairie;Texas;33.1;90811;96944;187755;7073;44888;3.18;TX;Black or African-American;54934
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;Asian;3871
Bellingham;Washington;30.7;41286;43857;85143;4703;8713;2.44;WA;American Indian and Alaska Native;2056
Rockford;Illinois;36.3;71076;78270;149346;8894;18323;2.52;IL;Hispanic or Latino;28923
Hampton;Virginia;35.5;66214;70240;136454;19638;6204;2.48;VA;Hispanic or Latino;7513
Caguas;Puerto Rico;40.4;34743;42265;77008;;;;PR;Hispanic or Latino;76349
Beaverton;Oregon;35.6;47325;49252;96577;4645;18933;2.46;OR;Black or African-American;3100
Framingham;Massachusetts;40.3;35442;35768;71210;2625;19070;2.49;MA;Hispanic or Latino;13000
Pompano Beach;Florida;42.5;56569;51202;107771;5145;32733;2.55;FL;Black or African-American;38653
Nashville;Tennessee;34.1;314231;340365;654596;27942;88193;2.39;TN;Asian;27355
Wilmington;Delaware;36.4;32680;39277;71957;3063;3336;2.45;DE;American Indian and Alaska Native;414
Miramar;Florida;36.6;66157;70958;137115;3077;57179;3.41;FL;Black or African-American;65840
Arlington Heights;Illinois;45.9;37627;39369;76996;3027;14630;2.38;IL;Asian;9975
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;Black or African-American;3407
Nampa;Idaho;31.4;45651;44199;89850;4736;6607;2.98;ID;American Indian and Alaska Native;2167
Manchester;New Hampshire;37.3;54845;55378;110223;5473;14506;2.4;NH;Hispanic or Latino;11962
Cicero;Illinois;28.5;43153;40714;83867;629;33801;3.89;IL;Asian;1193
Meridian;Idaho;38.0;43353;47400;90753;5640;8110;2.54;ID;American Indian and Alaska Native;492
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;American Indian and Alaska Native;3488
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;Asian;1437
Saint Charles;Missouri;34.9;32054;36747;68801;4371;5274;2.33;MO;White;58662
Tulsa;Oklahoma;35.0;197437;205654;403091;24672;43751;2.37;OK;White;279127
Fargo;North Dakota;30.7;60560;58690;119250;6154;9428;2.18;ND;Hispanic or Latino;3567
South Bend;Indiana;32.4;50483;53274;103757;3708;8779;2.72;IN;Asian;1788
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;American Indian and Alaska Native;835
Birmingham;Alabama;35.6;102122;112789;214911;13212;8258;2.21;AL;Asian;1500
Vista;California;29.3;50680;50204;100884;4957;23271;3.52;CA;Black or African-American;5164
New Rochelle;New York;40.6;38871;40967;79838;2780;26960;2.85;NY;White;44435
Buffalo;New York;33.1;124537;133529;258066;11231;24630;2.27;NY;Hispanic or Latino;29656
Glendale;Arizona;34.4;116795;123319;240114;13241;44133;2.89;AZ;White;202539
Victoria;Texas;35.8;32290;35291;67581;5000;4480;2.7;TX;White;58798
Victoria;Texas;35.8;32290;35291;67581;5000;4480;2.7;TX;Asian;2032
Glendale;California;42.1;98181;102844;201025;4448;111510;2.69;CA;White;146718
Auburn;Washington;37.1;36837;39743;76580;5401;14842;2.73;WA;Asian;12341
Peoria;Arizona;36.9;80139;91103;171242;13019;14260;2.97;AZ;Hispanic or Latino;41129
Abilene;Texas;31.3;65212;60664;125876;9367;8129;2.64;TX;American Indian and Alaska Native;1813
Atlanta;Georgia;33.8;223960;239915;463875;18572;32016;2.15;GA;Asian;24268
Saint Charles;Missouri;34.9;32054;36747;68801;4371;5274;2.33;MO;American Indian and Alaska Native;681
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.72;FL;American Indian and Alaska Native;464
Houston;Texas;32.6;1149686;1148942;2298628;71898;696210;2.66;TX;Asian;173854
Port Saint Lucie;Florida;42.1;84069;95341;179410;12416;34003;2.91;FL;Asian;7967
Washington;District of Columbia;33.8;319705;352523;672228;25963;95117;2.24;DC;Hispanic or Latino;71129
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;Black or African-American;36393
Cincinnati;Ohio;32.7;143654;154883;298537;13699;16896;2.08;OH;White;162245
New Braunfels;Texas;37.0;33071;36852;69923;5204;5405;2.85;TX;Asian;1610
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;American Indian and Alaska Native;10813
Inglewood;California;34.9;52995;58661;111656;2703;34171;3.12;CA;Black or African-American;44991
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;Hispanic or Latino;18202
Sioux City;Iowa;34.3;38827;43949;82776;4093;7471;2.57;IA;Hispanic or Latino;15602
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;Asian;240978
Springfield;Massachusetts;31.8;74744;79592;154336;5723;16226;2.81;MA;Asian;5606
San Mateo;California;39.3;50966;52558;103524;2730;34957;2.64;CA;White;62656
Fall River;Massachusetts;39.3;43314;45456;88770;4143;14775;2.21;MA;Black or African-American;6389
Maple Grove;Minnesota;38.6;31780;36601;68381;2943;7645;2.64;MN;Hispanic or Latino;1685
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;Hispanic or Latino;6089
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;Black or African-American;12671
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;Asian;9788
Worcester;Massachusetts;34.9;90951;93855;184806;9408;36907;2.43;MA;Asian;15932
Santa Rosa;California;37.9;86840;88149;174989;9101;33015;2.7;CA;White;138506
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;Black or African-American;25111
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;Asian;3348
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;White;98243
Marysville;Washington;33.2;33436;33337;66773;5714;7721;2.79;WA;American Indian and Alaska Native;3260
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;American Indian and Alaska Native;556
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;Hispanic or Latino;23395
Brandon;Florida;36.1;55679;58289;113968;9417;16390;2.64;FL;Asian;9440
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;Asian;4933
Eugene;Oregon;33.4;79071;84377;163448;8896;14503;2.34;OR;Black or African-American;5632
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;American Indian and Alaska Native;3271
Jacksonville;North Carolina;24.2;40015;27348;67363;8252;3732;2.51;NC;Black or African-American;13253
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;Hispanic or Latino;10327
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;Asian;1271
Palm Bay;Florida;40.7;51767;56128;107895;10942;12070;2.82;FL;Black or African-American;20891
Plantation;Florida;40.6;42881;49674;92555;4037;27902;2.73;FL;Hispanic or Latino;26401
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;White;149298
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;Black or African-American;52972
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;American Indian and Alaska Native;3557
Lynchburg;Virginia;28.7;38614;41198;79812;4322;4364;2.48;VA;Hispanic or Latino;2689
Spokane;Washington;36.6;102756;110511;213267;18044;13253;2.34;WA;Asian;9059
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;White;82860
Lynwood;California;29.4;35634;36371;72005;776;28061;4.43;CA;Black or African-American;5346
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;White;234301
Norfolk;Virginia;30.2;128917;117476;246393;29445;16702;2.51;VA;White;127741
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Asian;48974
Kendall;Florida;40.2;36658;39808;76466;1678;31180;2.81;FL;White;70266
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;Black or African-American;3332
Pembroke Pines;Florida;40.3;77050;89574;166624;6849;62210;2.94;FL;Hispanic or Latino;60519
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;Asian;7108
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;White;56866
Yakima;Washington;34.0;45147;48553;93700;4705;15717;2.74;WA;Black or African-American;924
Carson;California;40.4;43790;49506;93296;4273;33860;3.7;CA;White;28801
Deerfield Beach;Florida;41.4;37155;42614;79769;3882;23642;2.46;FL;Black or African-American;25344
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;Asian;10759
Orange;California;35.0;67337;73658;140995;3993;34550;3.14;CA;Hispanic or Latino;46255
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;American Indian and Alaska Native;1514
San Mateo;California;39.3;50966;52558;103524;2730;34957;2.64;CA;American Indian and Alaska Native;682
Tampa;Florida;35.3;175517;193511;369028;20636;58795;2.47;FL;Hispanic or Latino;95154
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;Black or African-American;9663
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;Black or African-American;1615
Shawnee;Kansas;40.1;32313;32745;65058;3575;4136;2.64;KS;Hispanic or Latino;4864
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;White;43019
Pueblo;Colorado;37.6;55635;53784;109419;7989;3578;2.44;CO;American Indian and Alaska Native;7306
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;American Indian and Alaska Native;3577
Framingham;Massachusetts;40.3;35442;35768;71210;2625;19070;2.49;MA;White;52205
Nashua;New Hampshire;38.3;42926;45049;87975;5532;12693;2.46;NH;Black or African-American;4147
Boynton Beach;Florida;45.8;33701;40271;73972;4727;15431;2.45;FL;Hispanic or Latino;12553
Temple;Texas;33.6;33512;38785;72297;7333;3968;2.59;TX;Black or African-American;14747
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;Asian;3314
Killeen;Texas;29.2;69442;71367;140809;24281;15769;2.72;TX;Black or African-American;54601
Oxnard;California;31.0;101906;105346;207252;6367;78678;4.08;CA;American Indian and Alaska Native;6241
Huntington Beach;California;41.6;99967;101960;201927;10454;35368;2.67;CA;Asian;29095
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;White;79582
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;White;54496
Atascocita;Texas;32.8;37424;40816;78240;4416;8657;3.03;TX;American Indian and Alaska Native;1024
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;Hispanic or Latino;25366
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;White;149859
Erie;Pennsylvania;35.3;48618;50852;99470;7093;6275;2.31;PA;Hispanic or Latino;7859
Mountain View;California;33.5;42493;37945;80438;1376;31857;2.46;CA;White;51400
Bethlehem;Pennsylvania;35.1;35861;38506;74367;4704;6295;2.46;PA;Hispanic or Latino;23409
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;American Indian and Alaska Native;4851
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;Asian;5561
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;Hispanic or Latino;1704
Warren;Michigan;43.2;64063;71293;135356;7806;18822;2.45;MI;Hispanic or Latino;3210
Greenville;North Carolina;26.2;39897;50691;90588;4283;4183;2.4;NC;Black or African-American;37355
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;Hispanic or Latino;17093
Carlsbad;California;42.1;55119;58347;113466;6031;17689;2.68;CA;White;98705
Naperville;Illinois;38.5;71365;75794;147159;4545;30399;2.76;IL;American Indian and Alaska Native;449
Johnson City;Tennessee;38.2;31019;34350;65369;5038;2878;2.18;TN;American Indian and Alaska Native;400
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;American Indian and Alaska Native;251
Aurora;Illinois;31.7;101964;101751;203715;4988;50980;3.3;IL;White;115903
Madison;Wisconsin;30.7;122596;126360;248956;9707;30090;2.23;WI;American Indian and Alaska Native;2296
Portland;Maine;40.3;31480;35392;66872;3666;9229;2.13;ME;White;59722
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;American Indian and Alaska Native;3941
East Orange;New Jersey;35.5;29995;34967;64962;1870;15164;2.85;NJ;Black or African-American;57859
Indianapolis;Indiana;34.1;410615;437808;848423;42186;72456;2.53;IN;American Indian and Alaska Native;8656
Bakersfield;California;30.6;182154;191473;373627;12284;71575;3.23;CA;Black or African-American;34240
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;Asian;9801
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;Black or African-American;13636
Deltona;Florida;39.9;44853;43621;88474;5664;7098;2.89;FL;White;75686
North Las Vegas;Nevada;32.2;116350;118443;234793;17256;49815;3.31;NV;White;137357
Longmont;Colorado;36.8;43941;48280;92221;4925;10424;2.63;CO;Asian;2255
Saint Paul;Minnesota;31.5;149547;151293;300840;10548;56514;2.58;MN;Hispanic or Latino;27307
Muncie;Indiana;27.4;32446;37255;69701;2968;1062;2.35;IN;American Indian and Alaska Native;203
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;Black or African-American;26747
Maple Grove;Minnesota;38.6;31780;36601;68381;2943;7645;2.64;MN;American Indian and Alaska Native;549
Escondido;California;33.3;76551;74907;151458;8110;46298;3.27;CA;Hispanic or Latino;73793
Chattanooga;Tennessee;36.6;83640;92957;176597;10001;10599;2.4;TN;Asian;4602
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.72;RI;White;97885
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;White;77979
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;White;62194
Lakewood;Colorado;37.7;76013;76576;152589;9988;14169;2.29;CO;Asian;7340
Highlands Ranch;Colorado;39.6;49186;53281;102467;4840;8827;2.72;CO;Hispanic or Latino;8393
Yorba Linda;California;45.5;31960;36006;67966;3171;15532;3.0;CA;American Indian and Alaska Native;211
Denton;Texas;28.7;62478;68569;131047;6352;18451;2.66;TX;White;106278
Silver Spring;Maryland;33.8;40601;41862;82463;1562;30908;2.6;MD;White;37756
Spring Valley;Nevada;37.0;96808;97147;193955;10644;61072;2.79;NV;White;111763
High Point;North Carolina;35.5;51751;58077;109828;5204;16315;2.65;NC;White;58004
Virginia Beach;Virginia;35.4;222684;230061;452745;54995;38360;2.61;VA;White;324924
Fairfield;California;34.7;55550;57422;112972;8607;24503;3.14;CA;Asian;22428
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;American Indian and Alaska Native;288
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;Hispanic or Latino;4146
Iowa City;Iowa;25.5;37089;37138;74227;2047;9202;2.36;IA;Black or African-American;7219
Iowa City;Iowa;25.5;37089;37138;74227;2047;9202;2.36;IA;American Indian and Alaska Native;610
Arden-Arcade;California;41.5;47596;48680;96276;6511;13458;2.18;CA;White;69369
San Tan Valley;Arizona;31.3;40429;42368;82797;4300;5757;3.44;AZ;Black or African-American;2027
Concord;California;39.6;62310;66358;128668;6287;37428;2.72;CA;American Indian and Alaska Native;1447
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;Black or African-American;1201
Carolina;Puerto Rico;42.0;64758;77308;142066;;;;PR;Hispanic or Latino;139967
Coral Springs;Florida;37.2;63316;66186;129502;4724;38552;3.17;FL;Hispanic or Latino;40817
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;White;58723
Coral Springs;Florida;37.2;63316;66186;129502;4724;38552;3.17;FL;Asian;6573
Rancho Cucamonga;California;34.5;88127;87105;175232;5821;33878;3.18;CA;Black or African-American;24437
Bossier City;Louisiana;32.7;33428;34669;68097;8108;2980;2.4;LA;White;47454
Newark;New Jersey;34.6;138040;143873;281913;5829;86253;2.73;NJ;White;76402
Atascocita;Texas;32.8;37424;40816;78240;4416;8657;3.03;TX;Black or African-American;21491
Peoria;Illinois;33.1;56229;62432;118661;6634;7517;2.4;IL;American Indian and Alaska Native;1343
San Ramon;California;39.1;39221;36911;76132;2855;29691;3.09;CA;American Indian and Alaska Native;609
West Covina;California;39.8;51629;56860;108489;3800;37038;3.56;CA;Asian;32716
Newport News;Virginia;32.8;88385;94000;182385;18896;12589;2.46;VA;Hispanic or Latino;15780
O'Fallon;Missouri;36.0;41762;43270;85032;5783;3269;2.77;MO;Hispanic or Latino;2583
Miami Gardens;Florida;34.9;50719;62480;113199;2327;33394;3.75;FL;Hispanic or Latino;23287
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;Hispanic or Latino;5822
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;American Indian and Alaska Native;98
Folsom;California;40.9;41051;35317;76368;4187;13234;2.62;CA;American Indian and Alaska Native;998
North Little Rock;Arkansas;33.6;31671;34835;66506;4130;2787;2.62;AR;American Indian and Alaska Native;713
Fort Myers;Florida;37.3;36850;37165;74015;4312;15365;2.45;FL;White;50169
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;Asian;1732
Pittsburgh;Pennsylvania;32.9;149690;154695;304385;17728;28187;2.13;PA;White;208863
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Hispanic or Latino;66525
Santa Clara;California;35.2;63278;62938;126216;4426;52281;2.75;CA;White;55847
Atlanta;Georgia;33.8;223960;239915;463875;18572;32016;2.15;GA;Hispanic or Latino;18653
Rancho Cordova;California;33.8;34844;36182;71026;4590;17020;2.86;CA;Asian;12653
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;Black or African-American;3559
Westminster;Colorado;37.8;54866;58251;113117;6512;11361;2.63;CO;Hispanic or Latino;23355
Greenville;North Carolina;26.2;39897;50691;90588;4283;4183;2.4;NC;Asian;2787
Chula Vista;California;34.6;131485;134269;265754;12368;82710;3.32;CA;Hispanic or Latino;156522
Arvada;Colorado;41.0;54870;60165;115035;8930;4921;2.49;CO;Black or African-American;2985
Salt Lake City;Utah;32.1;98364;94296;192660;6829;32166;2.38;UT;Asian;13153
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;White;549468
Suffolk;Virginia;38.2;43048;45113;88161;10114;2829;2.72;VA;Black or African-American;39107
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;American Indian and Alaska Native;1540
Los Angeles;California;35.0;1958998;2012898;3971896;85417;1485425;2.86;CA;White;2177650
Stamford;Connecticut;35.4;64941;63936;128877;2269;44003;2.7;CT;Hispanic or Latino;33197
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;Hispanic or Latino;6149
Redlands;California;36.2;33993;37035;71028;3445;8681;2.82;CA;Asian;6255
Seattle;Washington;35.5;345659;338784;684443;29364;119840;2.13;WA;Hispanic or Latino;43060
Rio Rancho;New Mexico;38.3;47251;46904;94155;8527;5200;2.86;NM;Asian;2374
Winston-Salem;North Carolina;34.7;112520;128712;241232;14521;24302;2.47;NC;American Indian and Alaska Native;1415
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;Black or African-American;3703
Atlanta;Georgia;33.8;223960;239915;463875;18572;32016;2.15;GA;American Indian and Alaska Native;4606
Passaic;New Jersey;30.4;36505;34577;71082;693;24174;3.56;NJ;Black or African-American;5230
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;American Indian and Alaska Native;1755
Syracuse;New York;30.3;69462;74690;144152;5845;17733;2.39;NY;American Indian and Alaska Native;3606
Waco;Texas;29.3;63452;68890;132342;10716;14235;2.57;TX;Black or African-American;29883
Passaic;New Jersey;30.4;36505;34577;71082;693;24174;3.56;NJ;White;30352
San Buenaventura;California;37.7;53932;55785;109717;5980;18025;2.68;CA;American Indian and Alaska Native;2808
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;Black or African-American;3825
Springdale;Arkansas;31.8;36840;43614;80454;3397;19969;3.04;AR;American Indian and Alaska Native;547
Yakima;Washington;34.0;45147;48553;93700;4705;15717;2.74;WA;Asian;2248
Chino;California;36.5;50989;34610;85599;4186;18666;3.62;CA;American Indian and Alaska Native;4790
Baltimore;Maryland;34.7;294027;327822;621849;29540;49857;2.51;MD;Black or African-American;396270
Lynn;Massachusetts;34.8;44598;47861;92459;3093;29899;2.81;MA;Black or African-American;18240
Indio;California;35.9;43803;43723;87526;3647;22538;3.08;CA;White;48562
Lawton;Oklahoma;31.1;51099;45560;96659;11572;6123;2.72;OK;Black or African-American;25767
Santa Clarita;California;38.1;90192;92175;182367;8537;40666;3.02;CA;Asian;23168
Garland;Texas;34.5;116406;120430;236836;10407;62975;3.12;TX;Asian;27217
Yorba Linda;California;45.5;31960;36006;67966;3171;15532;3.0;CA;Hispanic or Latino;10599
Bloomington;Illinois;35.1;37972;40323;78295;3888;7287;2.34;IL;Asian;6549
Newport Beach;California;46.8;43161;43970;87131;4847;15318;2.4;CA;Hispanic or Latino;8127
Clearwater;Florida;47.0;55225;57754;112979;10631;17686;2.4;FL;White;97195
Springfield;Illinois;38.8;55639;62170;117809;7525;4264;2.22;IL;American Indian and Alaska Native;1602
Clearwater;Florida;47.0;55225;57754;112979;10631;17686;2.4;FL;American Indian and Alaska Native;867
Schenectady;New York;36.7;32398;32901;65299;3388;10961;2.82;NY;Asian;5140
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;American Indian and Alaska Native;1503
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;American Indian and Alaska Native;17500
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;Hispanic or Latino;10887
Pearland;Texas;33.9;52336;59329;111665;5621;16882;3.0;TX;Hispanic or Latino;26460
Wilmington;North Carolina;35.5;52346;63601;115947;5908;7401;2.24;NC;Asian;3152
South Gate;California;32.5;47758;48641;96399;724;40571;3.97;CA;White;55444
Amarillo;Texas;33.8;99391;100260;199651;11008;21124;2.64;TX;White;174214
Racine;Wisconsin;33.7;39314;38423;77737;4650;4403;2.56;WI;Hispanic or Latino;18215
San Leandro;California;41.8;43032;47679;90711;4111;34293;2.79;CA;Hispanic or Latino;26894
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;Asian;1589
Fresno;California;30.0;256130;263942;520072;18410;103453;3.12;CA;American Indian and Alaska Native;11380
Tracy;California;35.5;43156;43937;87093;3025;25410;3.42;CA;White;58041
San Juan;Puerto Rico;41.4;155408;186829;342237;;;;PR;Hispanic or Latino;335559
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;Black or African-American;9078
Provo;Utah;23.6;56231;59027;115258;2177;10925;3.28;UT;American Indian and Alaska Native;1916
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;American Indian and Alaska Native;496
Newton;Massachusetts;42.3;41985;46824;88809;1814;21692;2.71;MA;Hispanic or Latino;4790
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;White;41431
Aurora;Illinois;31.7;101964;101751;203715;4988;50980;3.3;IL;Asian;17190
New Haven;Connecticut;29.9;63765;66545;130310;2567;25871;2.48;CT;Asian;7966
San Marcos;California;35.4;45246;47688;92934;5189;21558;3.13;CA;Black or African-American;4447
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;Black or African-American;43471
Norwalk;California;35.0;53125;54020;107145;3027;39396;3.88;CA;White;46998
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;American Indian and Alaska Native;1057
Washington;District of Columbia;33.8;319705;352523;672228;25963;95117;2.24;DC;Black or African-American;328786
Centennial;Colorado;42.4;53222;56504;109726;7226;9501;2.66;CO;Black or African-American;4005
Waukesha;Wisconsin;35.8;36263;35713;71976;3116;4982;2.35;WI;White;66757
